lat,lng
23.54174441,87.29992638
23.54229815,87.30683564
23.54236448,87.30693899
23.542372,87.30686347
23.54238784,87.30694066
23.54240991,87.30693771
23.5424383,87.30692975
23.54246089,87.30689925
23.54249277,87.3068678
23.54258411,87.30071431
23.54261052,87.3007143
23.54268877,87.3007164
23.54331535,87.30121384
23.54333757,87.3046267
23.54334742,87.304769
23.54335721,87.30118908
23.5433743,87.30452978
23.5438775559,87.3042855698
23.54421611,87.30812622
23.54429392,87.30823712
23.54429483,87.30821293
23.54433309,87.30827626
23.54435557,87.30819376
23.54442241,87.30191481
23.54457342,87.30208395
23.54458193,87.30212419
23.54461039,87.30209121
23.5446443,87.30208481
23.54467855,87.30191157
23.54468555,87.30201209
23.5459739,87.30936292
23.5461497978,87.3020699604
23.54657372,87.30988027
23.54660476,87.30987144
23.54661115,87.30992543
23.54661923,87.30985785
23.54663285,87.30990434
23.54663392,87.30979613
23.54667887,87.30991661
23.54810234,87.30764332
23.54813715,87.30778403
23.54821358,87.30389152
23.54822438,87.3037068
23.54822685,87.30762506
23.54824982,87.30369321
23.5482582,87.30381603
23.548291,87.30386797
23.5484871,87.3014295
23.54870651,87.30118415
23.55194821,87.29688502
23.55202419,87.29693974
23.55211052,87.29673518
23.55215942,87.29681215
23.55924887,87.29877762
23.55931858,87.29883134
23.55994442,87.29865131
23.55995682,87.29867872
23.55999327,87.29879395
23.56000011,87.29878056
23.56009581,87.29875279
23.56012038,87.2988264
23.56012892,87.29883756
23.5603398,87.29876874
23.56239381,87.29882087
23.56264251,87.29872021
23.56278097,87.29864786
23.56438537,87.28296114
23.56474762,87.29871837
23.5649886,87.29875246
23.56531972,87.28352631
23.56613848,87.28501672
23.56620385,87.28502661
23.56633958,87.28530437
23.56657844,87.29885625
23.56784093,87.30232699
23.56786238,87.30227218
23.56786411,87.30225087
23.5679866,87.29880209
23.56805373,87.30237311
23.56812688,87.29887716
23.56818078,87.29889045
23.5682254,87.2988805
23.57072885,87.30251465
23.57198358,87.28533436
23.57203239,87.30255782
23.57203823,87.30255437
23.57205799,87.27845189
23.57209184,87.27730827
23.57210414,87.27849565
23.57211556,87.30253293
23.57213269,87.30257688
23.57216156,87.27845772
23.57221919,87.28250521
23.57222321,87.27734443
23.57222358,87.3026083
23.57225821,87.30253696
23.57227065,87.28248958
23.57228459,87.30253982
23.57228801,87.30259391
23.57229124,87.28409738
23.57230077,87.3025993
23.57237114,87.30258186
23.572476964,87.303050725
23.57364231,87.27651833
23.5736939,87.27648549
23.57372018,87.27642885
23.5737234537,87.2765358485
23.5737524253,87.2956623961
23.57379632,87.27650022
23.57396237,87.29861667
23.57396458,87.29930419
23.57396771,87.27636493
23.57397433,87.29906594
23.5739956739,87.2992465419
23.57402141,87.29527693
23.5740622,87.30068395
23.5740716,87.29848152
23.57408278,87.29925388
23.57409542,87.29921657
23.57411954,87.29935459
23.57413121,87.29916779
23.57414136,87.29149836
23.57415333,87.29575134
23.57416438,87.29923705
23.57418221,87.29571879
23.57420365,87.30254156
23.5742184274,87.3024683912
23.57423693,87.30259913
23.57424562,87.30259346
23.57425068,87.30258783
23.57491798,87.2914857
23.57502411,87.29147339
23.57505,87.29147832
23.57505975,87.29147895
23.57538354,87.27562055
23.57645803,87.27494926
23.57650889,87.27488148
23.57651426,87.27484218
23.57651721,87.27494091
23.57653318,87.27493569
23.5785447977,87.2826959571
23.57863135,87.28267389
23.57864231,87.28237678
23.57864983,87.28265986
23.5786659,87.2828406
23.57866983,87.28268347
23.57869967,87.27364491
23.57928103,87.29159426
23.57929027,87.2915295
23.57931666,87.2915549
23.57934031,87.29150392
23.57936861,87.29153962
23.57952346,87.27351824
23.57957058,87.27345454
23.57959263,87.27340534
23.57960715,87.27348783
23.57960751,87.2735005
23.57965014,87.28062188
23.57973196,87.28769212
23.57977512,87.27348594
23.5798608835,87.2732937719
23.57998932,87.28748967
23.58001472,87.28747099
23.58002658,87.28743126
23.58004821,87.28745396
23.58016289,87.28747951
23.58023736,87.2874719
23.58026043,87.27945435
23.58027961,87.27949523
23.58028777,87.27948689
23.5821215,87.27607802
23.58215162,87.27600691
23.58217453,87.27578947
23.58231574,87.27608576
23.58231774,87.27599797
23.5823272395,87.2760361221
23.58233541,87.27600546
23.58234734,87.27599868
23.58237578,87.27604009
23.58278227,87.2832976
23.58285343,87.28334658
23.58304441,87.28750946
23.58320216,87.28755943
23.58326005,87.28754077
23.58333866,87.28751421
23.58448365,87.28340154
23.58448408,87.28351022
23.58450723,87.28344914
23.58467648,87.28753706
23.58472649,87.28751016
23.58612304,87.28756412
23.58632158,87.28759841
23.58644425,87.28756288
23.5865602545,87.2878809796
23.58702549,87.28796402
23.58704071,87.28351518
23.58715481,87.28355354
23.58880358,87.28216788
23.58881175,87.28195246
23.58882135,87.28199686
23.58882313,87.28200462
23.58883051,87.28203377
23.58884732,87.28196907
23.58884923,87.28205422
23.58888186,87.28626173
23.58891108,87.28625768
23.5889255121,87.2819395201
23.58899185,87.28624776
23.59052557,87.28465202
23.59060072,87.28453602
23.5906333,87.28448894
23.59068361,87.28451285
23.59068835,87.28448446
23.5907495481,87.2845484584
23.5908334712,87.2846887832
